"hgnc" "EntrezGene"
"738" "BIN3" 55909
"739" "GLTSCR1L" NA
"740" "GALE" 2582
"741" "TMEM97" 27346
"742" "PTHLH" 5744
"743" "LTBP2" 4053
"744" "LINC01122" 400955
"745" "APEX1" 328
"746" "CFB" 629
"747" "RNF217" 154214
"748" "PHYKPL" 85007
"749" "SLBP" 7884
"750" "RP11-355F16.1" NA
"751" "MYO1C" 4641
"752" "MRC2" 9902
"753" "HIST2H2AC" 8338
"754" "MRPL11" 65003
"755" "GPER1" 2852
"756" "NEDD9" 4739
"757" "LRIG3" 121227
"758" "RP11-669B18.1" NA
"759" "GREM2" 64388
"760" "CD3D" 915
"761" "CHST14" 113189
"762" "ATP6V1A" 523
"763" "ZBTB34" 403341
"764" "RP11-314A20.1" NA
"765" "PRDM2" 7799
"766" "SNX15" 29907
"767" "TMCO6" 55374
"768" "FAM71F2" 346653
"769" "GPD1L" 23171
"770" "KIF5C" 3800
"771" "KIF11" 3832
"772" "TNNT2" 7139
"773" "COL27A1" 85301
"774" "CATSPERB" 79820
"775" "DPYSL3" 1809
"776" "TMEM154" 201799
"777" "MACROD1" 28992
"778" "MZT1" 440145
"779" "NPAS3" 64067
"780" "LRRC41" 10489
"781" "STMN3" 50861
"782" "TGFBI" 7045
"783" "MDFI" 4188
"784" "IRF2" 3660
"785" "DTL" 51514
"786" "AL118506.1" NA
"787" "CALCOCO1" 57658
"788" "FANCD2" 2177
"789" "ZFX" 7543
"790" "CEP55" 55165
"791" "SPAG5" 10615
"792" "WDR54" 84058
"793" "SLC26A4" 5172
"794" "H2AFV" 94239
"795" "AKR7A2" 8574
"796" "DNAH1" 25981
"797" "TMA16" 55319
"798" "EEA1" 8411
"799" "PHYHIPL" 84457
"800" "TRIP13" 9319
"801" "NCOA3" 8202
"802" "NCS1" 23413
"803" "AF064858.6" NA
"804" "SNRPB" 6628
"805" "ANGPTL4" 51129
"806" "TRAPPC10" 7109
"807" "LAMTOR4" 389541
"808" "EME1" 146956
"809" "GRASP" 160622
"810" "TMEM120B" 144404
"811" "SNRPF" 6636
"812" "MZT2B" 80097
"813" "C7orf73" NA
"814" "RP11-474D14.2" NA
"815" "IQGAP1" 8826
"816" "ZFC3H1" 196441
"817" "TIFA" 92610
"818" "FAM110C" 642273
"819" "PDCD2L" 84306
"820" "VPS41" 27072
"821" "TNFRSF4" 7293
"822" "KRT17" 3872
"823" "KIAA1033" NA
"824" "VOPP1" 81552
"825" "HS3ST1" 9957
"826" "CHTF18" 63922
"827" "CDKN2AIPNL" 91368
"828" "NCOA2" 10499
"829" "EPG5" 57724
"830" "FLRT1" 23769
"831" "AKR1B1" 231
"832" "PLEKHA1" 59338
